,cocacola,logistic_water,logistic_soda,case
01R71078091,True,True,False,Case 1
01R71078092,True,False,True,Case 1
01R71078093,True,True,False,Case 1
01R71078094,True,True,False,Case 1
01R71078096,True,False,True,Case 1
01R71078097,True,False,True,Case 1
01R71078098,True,True,False,Case 1
01R71078099,True,True,False,Case 1
01R71078100,True,False,True,Case 1
01R71078101,True,True,False,Case 1
01R71078103,True,True,False,Case 1
01R71078104,True,True,False,Case 1
01R71078107,True,True,False,Case 1
01R71078113,True,True,False,Case 1
01R71078115,True,False,True,Case 1
01R71078116,True,False,True,Case 1
01R71078117,True,False,True,Case 1
01R71078119,True,False,True,Case 1
01R71078120,True,True,False,Case 1
01R71078122,True,False,False,Case 2
01R71078123,True,True,False,Case 1
01R71078124,True,True,False,Case 1
01R71078126,True,True,False,Case 1
01R71078127,True,True,False,Case 1
01R71078128,True,True,False,Case 1
01R71078129,True,True,False,Case 1
01R71078131,True,True,False,Case 1
